id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy
94	3426.77777778	0.777777777778	119819.444444	2.0	200	38600	38400	39000	89.0	2.0	1073.3	427.4	22.1	506.7	222.545236195
95	3490.3	0.9	121753.9	2.0	200	39200	39200	39600	89.0	2.0	1043.5	414.1	22.8	493.7	221.230770574
96	3291.7	1.0	118797.6	2.0	200	39400	39200	39800	89.0	1.6	1053.2	417.4	21.8	493.4	220.921298441
97	3596.3	0.5	165452.1	2.0	200	38600	38600	39000	89.0	1.6	1080.5	422.9	20.8	505.5	225.473111491
98	3933.5	0.6	176281.6	2.0	200	39200	39200	39600	89.0	1.8	1057.6	420.9	21.1	494.1	230.630910709
99	4048.77777778	1.11111111111	176386.888889	2.0	200	38600	38600	39000	89.0	1.4	1055.8	418.9	21.2	507.1	231.09207485
100	3769.0	1.45454545455	174570.363636	2.0	200	39800	39800	40200	89.0	2.0	1071.2	419.7	21.4	504.0	229.236922519
101	3549.6	1.1	166086.2	2.0	200	39400	39400	39800	89.0	2.0	1047.0	417.3	20.5	493.6	224.408345228
102	3569.2	0.6	166186.9	2.0	200	39200	39200	39600	89.0	1.6	1050.8	417.6	21.0	502.2	225.524671173
103	3500.0	1.3	165570.3	2.0	200	38600	38600	39000	89.0	2.0	1052.5	421.1	21.3	496.1	223.779823698
104	3573.8	0.8	166614.7	2.0	200	39200	39200	39600	89.0	1.8	1069.2	412.4	21.3	500.5	228.266635942
105	3597.8	0.7	166692.4	2.0	200	39200	39200	39600	89.0	2.0	1078.4	425.9	21.1	519.8	226.379805018
